"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","200","OK","320","0","","","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026 - Veterans Transition Support (VTS)","","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026","","THIS IS A FOUR DAY CLASS May 2-3 and 9-10 2026.","","https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","","17","0","33","0","14","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-31/","200","OK","256","0","","","Events for May 31, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","5","0","38","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-31/","https://veteranstransitionsupport.org/events/2026-05-31/","","","","",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","200","OK","371","0","","","May 4: Veteran Career Transition Brief – Jobs & Resources On Zoom - Veterans Transition Support (VTS)","","May 4: Veteran Career Transition Brief – Jobs & Resources on Zoom","","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","","8","0","32","0","14","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","","","","",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","200","OK","326","0","","","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026 - Veterans Transition Support (VTS)","","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026","","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","","https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","","14","0","32","0","14","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","","","","",""
"https://veteranstransitionsupport.org/events/month/2026-04/","200","OK","2735","0","","","Events for April 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","5","0","64","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/month/2026-04/","https://veteranstransitionsupport.org/events/month/2026-04/","","","","",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","200","OK","302","0","","","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 4-8 8-5pm PST - Veterans Transition Support (VTS)","","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 4-8 8-5pm PST","","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","","https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","","13","0","32","0","14","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-09/","200","OK","236","0","","","Events for May 9, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","6","0","37","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-09/","https://veteranstransitionsupport.org/events/2026-05-09/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-29/","200","OK","143","0","","","Events for May 29, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","6","0","36","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-29/","https://veteranstransitionsupport.org/events/2026-05-29/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-05/","200","OK","408","0","","","Events for May 5, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","6","0","39","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-05/","https://veteranstransitionsupport.org/events/2026-05-05/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-17/","200","OK","143","0","","","Events for May 17, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","6","0","36","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-17/","https://veteranstransitionsupport.org/events/2026-05-17/","","","","",""
